ds,method,split_number,zscore_norm
3_credit_approval,SVM,4,0.676103435522764
3_credit_approval,SVM,5,0.36012224730542447
3_credit_approval,SVM,6,0.5995767415013771
3_credit_approval,SVM,7,0.4371426619334009
3_credit_approval,SVM,8,0.4818813445920577
3_credit_approval,SVM,9,0.7279440992146712
3_credit_approval,TabPFN,0,0.6045139475672726
3_credit_approval,TabPFN,1,0.572422108138949
3_credit_approval,TabPFN,2,0.6538860082262322
3_credit_approval,TabPFN,3,0.3082815836135166
3_credit_approval,TabPFN,4,0.7131324810169836
3_credit_approval,TabPFN,5,0.41443151403027967
3_credit_approval,TabPFN,6,0.6464801991273884
3_credit_approval,TabPFN,7,0.3849475321649676
3_credit_approval,TabPFN,8,0.534076474360491
3_credit_approval,TabPFN,9,0.7279440992146712
3_credit_approval,XGBoost,0,0.4440547504256552
3_credit_approval,XGBoost,1,0.6267313748638045
3_credit_approval,XGBoost,2,0.6168569627320127
3_credit_approval,XGBoost,3,0.2737211411522454
3_credit_approval,XGBoost,4,0.7131324810169831
3_credit_approval,XGBoost,5,0.4588663686233428
3_credit_approval,XGBoost,6,0.5748907111718972
3_credit_approval,XGBoost,7,0.2358185899694442
3_credit_approval,XGBoost,8,0.5440184038401922
3_credit_approval,XGBoost,9,0.7105457226251936
4_australian_credit,CatBoost,0,0.7048782703643081
4_australian_credit,CatBoost,1,0.5337837423235704
4_australian_credit,CatBoost,2,0.6788421465320219
4_australian_credit,CatBoost,3,0.28439771215508985
4_australian_credit,CatBoost,4,0.38044657062927617
4_australian_credit,CatBoost,5,0.6759815197806214
4_australian_credit,CatBoost,6,0.29178608588387356
4_australian_credit,CatBoost,7,0.598403595628393
4_australian_credit,CatBoost,8,0.5873210350352182
4_australian_credit,CatBoost,9,0.6685931460518377
4_australian_credit,KNN,0,0.5616795892867341
4_australian_credit,KNN,1,0.39430450750775176
4_australian_credit,KNN,2,0.6025934981660408
4_australian_credit,KNN,3,0.1273947704184383
4_australian_credit,KNN,4,0.29732736618046146
4_australian_credit,KNN,5,0.5817797547386299
4_australian_credit,KNN,6,0.03873428567303513
4_australian_credit,KNN,7,0.4820367094000509
4_australian_credit,KNN,8,0.3490459822819467
4_australian_credit,KNN,9,0.5725442875776509
4_australian_credit,LightGBM,0,0.6788421465320225
