ds,method,split_number,rmse,r2
14_house_prices,TabPFNReg,2,19880.18629401415,0.9610481901373341
14_house_prices,TabPFNReg,3,20028.062355738723,0.9564779390836097
14_house_prices,TabPFNReg,4,20542.870472779257,0.9578739052400878
14_house_prices,TabPFNReg,5,20234.40940643066,0.9554932409940028
14_house_prices,TabPFNReg,6,21294.452409290712,0.9536813673669475
14_house_prices,TabPFNReg,7,20112.927497115554,0.9573417174362431
14_house_prices,TabPFNReg,8,20419.7514214338,0.9564712781905624
14_house_prices,TabPFNReg,9,19475.794986454304,0.9616436511741657
15_ames_housing,Linear,0,36311.9911243607,0.8309310454680445
15_ames_housing,Linear,1,29452.65490266204,0.894575763005026
15_ames_housing,Linear,2,23307.03823579241,0.8905968839539424
15_ames_housing,Linear,3,46017.003930946084,0.6634943043074195
15_ames_housing,Linear,4,30697.79219989813,0.8412435078853933
15_ames_housing,Linear,5,29808.91715524623,0.8769540174062407
15_ames_housing,Linear,6,26460.21865350099,0.8717374572545479
15_ames_housing,Linear,7,38545.54706946433,0.7659415334142707
15_ames_housing,Linear,8,24959.184992226837,0.88861982277689
15_ames_housing,Linear,9,27621.543213739948,0.8665946767996323
15_ames_housing,Ridge,0,36307.01646692803,0.8309773663936466
15_ames_housing,Ridge,1,29445.3397316592,0.8946281250452426
15_ames_housing,Ridge,2,23239.18294086824,0.8912329814497708
15_ames_housing,Ridge,3,45939.64314446834,0.6646247761378468
15_ames_housing,Ridge,4,30052.046623137674,0.8478523257079612
15_ames_housing,Ridge,5,29806.82707939269,0.876971271734516
15_ames_housing,Ridge,6,26451.536533280876,0.8718216143913324
15_ames_housing,Ridge,7,38548.121996344824,0.7659102611344185
15_ames_housing,Ridge,8,24954.57262618433,0.8886609842715492
15_ames_housing,Ridge,9,27563.256751664572,0.8671571015821663
15_ames_housing,Lasso,0,36309.74727592532,0.8309519395791184
15_ames_housing,Lasso,1,29451.842756388076,0.8945815769950431
15_ames_housing,Lasso,2,23299.90965527087,0.8906637967592148
15_ames_housing,Lasso,3,45980.16818686466,0.6640328216150642
15_ames_housing,Lasso,4,30673.15393595113,0.8414982437724648
15_ames_housing,Lasso,5,29808.658758962734,0.8769561506260843
15_ames_housing,Lasso,6,26452.86669858939,0.8718087226843768
15_ames_housing,Lasso,7,38539.61313379696,0.7660135926315754
15_ames_housing,Lasso,8,24955.767011748972,0.8886503261130168
15_ames_housing,Lasso,9,27609.447504662065,0.8667114898722976
15_ames_housing,ElasticNet,0,35871.91542545117,0.8350042058364474
15_ames_housing,ElasticNet,1,31905.160725875052,0.8762875401081118
15_ames_housing,ElasticNet,2,25195.43701457149,0.8721504199718033
15_ames_housing,ElasticNet,3,43817.44683218015,0.6948946116040526
15_ames_housing,ElasticNet,4,27166.092626108686,0.8756712507722179
15_ames_housing,ElasticNet,5,33141.63262413475,0.847902233623511
15_ames_housing,ElasticNet,6,26711.90446874228,0.8692858227241895
15_ames_housing,ElasticNet,7,38340.396980897815,0.7684263514329914
15_ames_housing,ElasticNet,8,25814.454464941176,0.8808557719393749
